person_id,full_name,age,gender,district,socioeconomic_band,education,occupation
P00041,Prakash Pai,36,M,BTM,Lower-mid,Postgraduate,IT worker
P00042,Santosh Achar,41,F,Mysuru,Low,None,Student
P00043,Mohan Pai,23,F,Yelahanka,Upper-mid,None,Shop owner
P00044,Meena Khan,19,M,KR Puram,Mid,Diploma,IT worker
P00045,Deepa Hegde,33,M,Whitefield,Lower-mid,Postgraduate,IT worker
P00046,Kiran Kumar,56,M,Rajajinagar,Mid,Secondary,Shop owner
P00047,Suresh Gupta,42,M,Jayanagar,Lower-mid,None,Driver
P00048,Sahana Setty,34,M,Whitefield,Lower-mid,Diploma,IT worker
P00049,Geetha Sharma,51,M,Rajajinagar,Upper-mid,Graduate,Driver
P00050,Manjunath Murthy,65,F,Yelahanka,Lower-mid,Graduate,Clerk
P00051,Suresh Bhat,62,M,Mangaluru,Lower-mid,Postgraduate,IT worker
P00052,Vijay Sharma,50,M,KR Puram,Lower-mid,Graduate,Mechanic
P00053,Meena Pai,28,F,Rajajinagar,Lower-mid,Primary,Mechanic
P00054,Imran Pai,63,M,Yelahanka,Lower-mid,Postgraduate,Driver
P00055,Sahana Reddy,24,M,Mangaluru,Lower-mid,None,IT worker
P00056,Anita Prasad,45,M,BTM,Lower-mid,Postgraduate,Driver
P00057,Manjunath Das,66,F,KR Puram,Mid,Diploma,Daily wage
P00058,Pooja Achar,70,M,KR Puram,Mid,Diploma,Shop owner
P00059,Imran Kulkarni,20,M,Hubballi,Upper-mid,Primary,Daily wage
P00060,Sneha Shetty,64,M,Jayanagar,Lower-mid,Postgraduate,Clerk
P00061,Ravi Reddy,36,F,Whitefield,Lower-mid,Diploma,Driver
P00062,Geetha Prasad,42,M,BTM,Low,None,Unknown
P00063,Vinay Kulkarni,59,M,Mangaluru,Low,Diploma,Clerk
P00064,Meena Murthy,58,M,Electronic City,Upper-mid,Postgraduate,Shop owner
P00065,Naveen Gowda,44,F,Mangaluru,Low,Diploma,Clerk
P00066,Meena Bhat,28,F,Electronic City,Low,Diploma,Unknown
P00067,Harish Joshi,34,F,Whitefield,Low,Postgraduate,Mechanic
P00068,Reshma Kumar,52,F,Belagavi,High,Graduate,IT worker
P00069,Santosh Patil,54,F,Rajajinagar,Mid,Graduate,Clerk
P00070,Lakshmi Desai,22,F,Hubballi,Low,Diploma,Unemployed
P00071,Kavya Naidu,62,M,Whitefield,Lower-mid,Diploma,Driver
P00072,Rahul Nayak,66,M,KR Puram,Lower-mid,Secondary,Driver
P00073,Mohan Das,67,M,KR Puram,Upper-mid,Diploma,Daily wage
P00074,Vijay Patil,59,M,Yelahanka,High,Graduate,Student
P00075,Faisal Iyer,16,M,Jayanagar,Lower-mid,Postgraduate,Clerk
P00076,Kavya Iyer,68,M,KR Puram,Low,Primary,IT worker
P00077,Ravi Kulkarni,51,M,Mangaluru,Low,None,IT worker
P00078,Divya Desai,42,M,BLR South,High,Secondary,IT worker
P00079,Kiran Shetty,31,F,BTM,Lower-mid,Secondary,Shop owner
P00080,Prakash Joshi,63,M,Yelahanka,Mid,Diploma,Unknown
P00081,Prakash Murthy,18,M,Rajajinagar,Lower-mid,Primary,Student
P00082,Anita Achar,39,M,Hubballi,Lower-mid,Diploma,Clerk
P00083,Rahul Shetty,70,F,Jayanagar,Mid,Postgraduate,Unknown
P00084,Ravi Reddy,66,M,BTM,Mid,Primary,Daily wage
P00085,Jyothi Hegde,53,M,Rajajinagar,Lower-mid,Primary,Unknown
P00086,Suresh Murthy,70,F,BTM,Lower-mid,Primary,Daily wage
P00087,Ravi Nayak,16,M,Rajajinagar,Mid,None,Driver
P00088,Mohan Reddy,24,M,Mysuru,Low,None,IT worker
P00089,Rajesh Naidu,48,M,Electronic City,Lower-mid,Graduate,Unemployed
P00090,Bhavani Bhat,45,M,BLR South,Low,Diploma,Mechanic
P00091,Sneha Achar,22,M,Electronic City,Low,None,Student
P00092,Mahesh Nayak,20,M,Mangaluru,Mid,Graduate,Student
P00093,Vinay Kulkarni,49,M,Mysuru,Mid,None,Daily wage
P00094,Jyothi Raju,29,M,Rajajinagar,Lower-mid,Diploma,Mechanic
P00095,Prakash Raju,22,M,KR Puram,Mid,Secondary,Driver
P00096,Karthik Gowda,21,F,Jayanagar,Lower-mid,Postgraduate,Student
P00097,Lakshmi Gupta,19,M,Mysuru,Lower-mid,Postgraduate,Daily wage
P00098,Prakash Naidu,58,F,Yelahanka,Upper-mid,Postgraduate,Unemployed
P00099,Santosh Kulkarni,35,M,Mangaluru,Lower-mid,Primary,IT worker
P00100,Arun Shetty,38,F,KR Puram,Low,Secondary,Unknown
P00101,Arun Khan,70,M,Mangaluru,Mid,Postgraduate,Shop owner
P00102,Ravi Kulkarni,58,F,Whitefield,Low,Secondary,Clerk
P00103,Pooja Naidu,16,M,BTM,Lower-mid,Diploma,Daily wage
P00104,Vijay Raju,56,F,Jayanagar,Mid,Primary,Mechanic
P00105,Prakash Sharma,37,M,Whitefield,Mid,Graduate,Unknown
P00106,Faisal Reddy,25,M,Mangaluru,Low,None,Clerk
P00107,Rajesh Achar,43,M,Electronic City,Lower-mid,Primary,Shop owner
P00108,Kiran Naidu,43,M,Hubballi,Mid,Diploma,Shop owner
P00109,Divya Reddy,30,M,Mangaluru,Low,Primary,Clerk
P00110,Shilpa Nayak,64,M,KR Puram,Low,Diploma,Mechanic
P00111,Priya Nayak,40,M,Rajajinagar,Lower-mid,Postgraduate,Student
P00112,Manjunath Iyer,63,M,BLR South,Lower-mid,None,Student
P00113,Sandeep Khan,52,M,Hubballi,Lower-mid,None,Mechanic
P00114,Ravi Pai,26,F,Mangaluru,Lower-mid,Postgraduate,Student
P00115,Faisal Khan,70,M,Yelahanka,Mid,Graduate,Daily wage
P00116,Asha Bhat,63,M,KR Puram,Mid,None,Shop owner
P00117,Kiran Prasad,48,M,KR Puram,Lower-mid,Postgraduate,Driver
P00118,Geetha Shetty,25,M,BTM,Mid,Postgraduate,Daily wage
P00119,Priya Desai,47,M,Mangaluru,Mid,Diploma,Unknown
P00120,Roopa Pai,56,M,Electronic City,Low,Diploma,Clerk
P00121,Reshma Joshi,19,M,Jayanagar,Lower-mid,Diploma,Unemployed
P00122,Deepa Naidu,69,M,Hubballi,Upper-mid,None,Unknown
P00123,Mahesh Prasad,40,M,Mysuru,High,Postgraduate,Unemployed
P00124,Rajesh Joshi,57,M,Mangaluru,Lower-mid,Primary,Unemployed
P00125,Rajesh Shetty,67,F,KR Puram,High,None,Shop owner
P00126,Priya Reddy,31,M,Electronic City,Lower-mid,Graduate,Driver
P00127,Nandini Naidu,34,M,KR Puram,Mid,None,Student
P00128,Manjunath Pai,22,M,Yelahanka,Low,Postgraduate,Unknown
P00129,Vijay Pai,21,M,BTM,Upper-mid,Secondary,Mechanic
P00130,Lakshmi Kulkarni,61,F,Whitefield,Lower-mid,Postgraduate,Student
P00131,Lakshmi Achar,60,F,Belagavi,High,Graduate,Daily wage
P00132,Sneha Prasad,39,M,Whitefield,Low,Primary,Student
P00133,Sahana Hegde,30,F,BTM,Low,None,Shop owner
P00134,Ramesh Raju,49,M,KR Puram,Upper-mid,Graduate,Driver
P00135,Mahesh Iyer,25,M,Belagavi,Mid,Primary,IT worker
P00136,Imran Khan,39,M,Rajajinagar,High,Graduate,Clerk
P00137,Rajesh Patil,50,M,Electronic City,Upper-mid,Primary,Student
P00138,Sandeep Sharma,45,M,Yelahanka,Lower-mid,Diploma,Driver
P00139,Rahul Kulkarni,24,F,BLR South,Mid,Secondary,Shop owner
P00140,Anita Setty,70,M,Jayanagar,Low,Primary,Clerk
P00141,Rajesh Prasad,25,F,Jayanagar,High,Primary,IT worker
P00142,Harish Kumar,42,M,Mysuru,Lower-mid,Diploma,Daily wage
P00143,Nandini Patil,17,M,Jayanagar,Upper-mid,Postgraduate,Student
P00144,Vijay Nayak,18,M,Electronic City,Mid,Primary,IT worker
P00145,Rajesh Kulkarni,16,F,BLR South,Low,Primary,Shop owner
P00146,Mahesh Prasad,43,M,Whitefield,Low,None,Unemployed
P00147,Geetha Khan,56,F,Electronic City,Low,Diploma,Unknown
P00148,Ramesh Kumar,56,M,Rajajinagar,Mid,Secondary,Mechanic
P00149,Suresh Kulkarni,38,M,Yelahanka,Low,Postgraduate,Daily wage
P00150,Bhavani Naidu,20,F,Mysuru,Lower-mid,Graduate,Shop owner
P00151,Ravi Iyer,46,M,Yelahanka,High,Secondary,Unemployed
P00152,Harish Gowda,38,M,Hubballi,Mid,Graduate,Student
P00153,Lakshmi Reddy,38,M,Hubballi,Low,Postgraduate,IT worker
P00154,Karthik Desai,27,F,Jayanagar,Mid,Diploma,Unemployed
P00155,Santosh Hegde,18,F,BLR South,Lower-mid,Secondary,Shop owner
P00156,Asha Gupta,46,M,Hubballi,Low,Secondary,Unemployed
P00157,Pooja Murthy,23,F,Yelahanka,Upper-mid,Postgraduate,IT worker
P00158,Vinay Pai,27,M,Electronic City,Lower-mid,Graduate,Clerk
P00159,Faisal Raju,43,M,Mangaluru,High,Primary,Shop owner
P00160,Santosh Pai,22,M,Hubballi,Low,Diploma,Unknown
P00161,Sneha Rao,60,M,Electronic City,Low,Secondary,Unknown
P00162,Sneha Murthy,56,F,BLR South,Low,Postgraduate,Mechanic
P00163,Nandini Prasad,67,M,BTM,High,Primary,Unknown
P00164,Rajesh Reddy,24,M,Hubballi,Lower-mid,Diploma,Unknown
P00165,Imran Kulkarni,25,M,KR Puram,Lower-mid,None,Unknown
P00166,Lakshmi Prasad,39,M,Hubballi,Low,None,Unemployed
P00167,Priya Das,49,M,Mysuru,Low,Secondary,IT worker
P00168,Shilpa Kulkarni,34,M,Electronic City,Low,Primary,Daily wage
P00169,Rajesh Rao,61,M,Jayanagar,Upper-mid,Secondary,Student
P00170,Manjunath Gupta,50,M,Whitefield,Upper-mid,Postgraduate,Driver
P00171,Nandini Prasad,30,M,Rajajinagar,Mid,Primary,IT worker
P00172,Ravi Naidu,51,M,Electronic City,Upper-mid,Graduate,Driver
P00173,Roopa Gowda,20,M,Belagavi,Mid,Graduate,Mechanic
P00174,Prakash Joshi,20,M,KR Puram,Mid,Diploma,IT worker
P00175,Bhavani Naidu,24,F,Mysuru,Mid,Primary,Driver
P00176,Sneha Prasad,19,F,Mysuru,Low,Primary,Driver
P00177,Ganesh Setty,30,M,Mysuru,Upper-mid,None,Clerk
P00178,Rahul Desai,51,M,Hubballi,Lower-mid,Graduate,Daily wage
P00179,Yusuf Desai,26,M,Mangaluru,Low,Postgraduate,Unknown
P00180,Mahesh Pai,69,F,BLR South,Upper-mid,None,Daily wage
P00181,Imran Desai,65,M,Hubballi,Low,Graduate,Mechanic
P00182,Roopa Desai,17,M,Hubballi,Lower-mid,Postgraduate,Clerk
P00183,Karthik Patil,67,F,Yelahanka,Low,None,Unemployed
P00184,Naveen Sharma,42,M,Rajajinagar,Lower-mid,Primary,Student
P00185,Ganesh Raju,38,F,BTM,Mid,Graduate,Shop owner
P00186,Anita Pai,31,M,Whitefield,Lower-mid,Primary,Daily wage
P00187,Deepa Bhat,40,F,Yelahanka,Low,Primary,Student
P00188,Sandeep Raju,36,M,BTM,Lower-mid,Graduate,IT worker
P00189,Sahana Bhat,47,M,Yelahanka,Lower-mid,Primary,Vendor
P00190,Kavya Naidu,19,M,Electronic City,Mid,Postgraduate,IT worker
P00191,Santosh Gupta,16,F,Yelahanka,Low,Secondary,Student
P00192,Asha Naidu,18,M,Mangaluru,Lower-mid,Secondary,Shop owner
P00193,Santosh Gowda,40,M,Mysuru,Low,Graduate,Unknown
P00194,Kiran Nayak,22,M,KR Puram,Lower-mid,Secondary,Driver
P00195,Rahul Kulkarni,48,M,BLR South,Low,Primary,Student
P00196,Karthik Prasad,45,M,Mysuru,Low,Graduate,Student
P00197,Naveen Iyer,55,M,Whitefield,Mid,Graduate,Shop owner
P00198,Ramesh Das,61,M,Electronic City,Upper-mid,Secondary,Student
P00199,Kiran Khan,53,M,Belagavi,Upper-mid,Postgraduate,Unemployed
P00200,Mahesh Das,32,F,Mangaluru,Lower-mid,Postgraduate,Unemployed
P00201,Kavya Das,26,M,Belagavi,Mid,Diploma,Driver
P00202,Geetha Reddy,52,F,Jayanagar,Low,Diploma,Student
P00203,Prakash Nayak,42,M,Yelahanka,Lower-mid,Graduate,IT worker
P00204,Deepa Setty,24,M,Mysuru,Lower-mid,Postgraduate,IT worker
P00205,Bhavani Iyer,36,F,Electronic City,Upper-mid,Secondary,Shop owner
P00206,Harish Achar,65,F,Hubballi,Mid,Postgraduate,Clerk
P00207,Roopa Das,28,F,Whitefield,Lower-mid,Primary,Clerk
P00208,Santosh Setty,29,M,Electronic City,Lower-mid,Secondary,Shop owner
P00209,Reshma Bhat,23,M,Mysuru,Lower-mid,Diploma,Student
P00210,Vijay Bhat,18,M,Belagavi,Low,Diploma,Clerk
P00211,Karthik Hegde,28,F,Whitefield,High,Postgraduate,Clerk
P00212,Lakshmi Shetty,55,M,Rajajinagar,Low,Postgraduate,Shop owner
P00213,Arun Desai,30,M,Yelahanka,Lower-mid,Diploma,Daily wage
P00214,Lakshmi Kumar,51,F,BTM,Lower-mid,Diploma,IT worker
P00215,Rahul Bhat,36,M,BLR South,Upper-mid,None,Unknown
P00216,Arun Gupta,63,M,BLR South,Upper-mid,Primary,Mechanic
P00217,Priya Reddy,69,M,Electronic City,Low,Postgraduate,Clerk
P00218,Imran Kumar,35,M,Jayanagar,Upper-mid,Secondary,Clerk
P00219,Meena Desai,50,M,BTM,Upper-mid,Diploma,Clerk
P00220,Rahul Shetty,37,M,Electronic City,Mid,Postgraduate,Driver
P00221,Suresh Raju,37,F,Mangaluru,Mid,Primary,Driver
P00222,Roopa Desai,41,F,Mysuru,Lower-mid,Diploma,Daily wage
P00223,Priya Nayak,46,M,Rajajinagar,Low,Diploma,Vendor
P00224,Rajesh Murthy,37,M,Belagavi,Lower-mid,Secondary,Student
P00225,Geetha Reddy,58,M,Whitefield,Low,Postgraduate,Shop owner
P00226,Divya Setty,23,M,Whitefield,Lower-mid,Primary,Vendor
P00227,Lakshmi Das,25,M,Mangaluru,Lower-mid,Postgraduate,Shop owner
P00228,Karthik Gupta,67,M,Rajajinagar,Mid,Postgraduate,Unknown
P00229,Faisal Prasad,44,M,KR Puram,Low,Graduate,Daily wage
P00230,Deepa Gupta,48,M,Mysuru,Low,Secondary,Shop owner
P00231,Rajesh Shetty,59,M,Mangaluru,Lower-mid,Graduate,IT worker
P00232,Deepa Sharma,24,M,Electronic City,Lower-mid,Graduate,IT worker
P00233,Divya Raju,17,M,BLR South,Mid,Graduate,Daily wage
P00234,Imran Khan,38,M,Mysuru,High,None,IT worker
P00235,Imran Bhat,42,M,BTM,Mid,Postgraduate,Mechanic
P00236,Nandini Iyer,44,F,Yelahanka,Lower-mid,Postgraduate,Shop owner
P00237,Lakshmi Desai,38,M,Mysuru,Lower-mid,Primary,Vendor
P00238,Suresh Kumar,35,M,Belagavi,Lower-mid,Graduate,Mechanic
P00239,Arun Patil,45,M,Whitefield,Low,Postgraduate,Daily wage
P00240,Imran Achar,42,M,BLR South,Low,None,Daily wage
P00241,Mahesh Reddy,44,M,Belagavi,Upper-mid,Primary,Unemployed
P00242,Asha Sharma,30,M,BLR South,Low,Secondary,Vendor
P00243,Sandeep Pai,52,M,Hubballi,Upper-mid,Primary,Clerk
P00244,Vijay Achar,49,M,Whitefield,Low,Graduate,Unknown
P00245,Priya Desai,59,M,Electronic City,Low,Secondary,Mechanic
P00246,Bhavani Pai,60,M,BTM,Low,Primary,Shop owner
P00247,Karthik Patil,70,M,Belagavi,Low,Diploma,Unemployed
P00248,Jyothi Khan,42,M,BTM,Lower-mid,Secondary,Vendor
P00249,Pooja Desai,21,F,KR Puram,Low,Postgraduate,Vendor
P00250,Deepa Murthy,40,M,Mangaluru,Low,None,Vendor
P00251,Kavya Raju,58,M,Electronic City,Low,Secondary,Clerk
P00252,Suresh Hegde,28,F,Jayanagar,Mid,Diploma,Vendor
P00253,Mahesh Setty,29,M,Rajajinagar,Lower-mid,Secondary,Mechanic
P00254,Meena Gupta,57,M,Whitefield,Lower-mid,Diploma,IT worker
P00255,Anita Raju,46,M,KR Puram,Upper-mid,Secondary,Student
P00256,Prakash Reddy,52,F,Belagavi,Low,Secondary,Shop owner
P00257,Kavya Joshi,62,M,BTM,Low,Primary,Mechanic
P00258,Sandeep Patil,47,M,Hubballi,Lower-mid,Diploma,IT worker
P00259,Meena Rao,62,F,BTM,Low,Graduate,IT worker
P00260,Priya Gupta,57,F,Mysuru,Low,None,Unemployed
P00261,Suresh Khan,24,F,Rajajinagar,Low,Primary,Unemployed
P00262,Shilpa Prasad,45,M,Mangaluru,Mid,Graduate,IT worker
P00263,Sahana Kumar,16,M,Yelahanka,Low,Graduate,Clerk
P00264,Ramesh Bhat,17,M,Belagavi,Mid,Primary,Daily wage
P00265,Anita Prasad,25,M,Mangaluru,Lower-mid,Secondary,Clerk
P00266,Asha Gowda,39,F,Electronic City,Lower-mid,Postgraduate,Vendor
P00267,Divya Achar,68,F,Hubballi,High,Postgraduate,Unemployed
P00268,Faisal Iyer,40,M,Electronic City,Low,None,Driver
P00269,Faisal Das,70,M,KR Puram,Lower-mid,None,Shop owner
P00270,Imran Patil,29,F,Belagavi,Upper-mid,Diploma,Clerk
P00271,Imran Gowda,59,F,Mysuru,Lower-mid,None,Driver
P00272,Ganesh Kumar,29,M,Belagavi,Upper-mid,None,Clerk
P00273,Naveen Joshi,31,M,Yelahanka,Mid,Graduate,Student
P00274,Vinay Raju,24,F,Belagavi,Mid,Graduate,Student
P00275,Deepa Shetty,43,M,Jayanagar,Lower-mid,Graduate,Unknown
P00276,Asha Pai,17,M,Electronic City,Lower-mid,Secondary,Shop owner
P00277,Vinay Khan,27,M,Hubballi,Lower-mid,Graduate,Clerk
P00278,Geetha Setty,20,M,BTM,Lower-mid,Postgraduate,Driver
P00279,Vinay Pai,39,M,BLR South,High,Diploma,Student
P00280,Reshma Shetty,24,M,Yelahanka,Lower-mid,Graduate,Shop owner
P00281,Prakash Shetty,17,M,Mysuru,Low,Graduate,Student
P00282,Vinay Kumar,34,M,Jayanagar,Mid,Graduate,Vendor
P00283,Sandeep Prasad,26,M,BTM,Low,Secondary,Clerk
P00284,Sahana Nayak,20,M,Whitefield,Lower-mid,Diploma,Daily wage
P00285,Nandini Murthy,31,M,Electronic City,Mid,Primary,IT worker
P00286,Anita Nayak,35,M,Yelahanka,Lower-mid,Graduate,Mechanic
P00287,Pooja Sharma,37,M,Hubballi,High,Primary,Clerk
P00288,Ganesh Kulkarni,60,M,KR Puram,Low,Diploma,Student
P00289,Santosh Raju,60,M,Mangaluru,Mid,Secondary,Mechanic
P00290,Reshma Iyer,39,M,Mangaluru,Low,Graduate,Driver
P00291,Jyothi Kumar,62,M,Belagavi,Low,Secondary,Daily wage
P00292,Prakash Achar,47,M,Whitefield,Low,Postgraduate,Driver
P00293,Sneha Iyer,20,M,Mangaluru,Lower-mid,Diploma,Shop owner
P00294,Yusuf Setty,42,M,KR Puram,Mid,Graduate,Unknown
P00295,Faisal Shetty,65,M,Hubballi,Lower-mid,Postgraduate,Unknown
P00296,Imran Joshi,57,M,Yelahanka,High,Secondary,Mechanic
P00297,Anita Kumar,22,M,Mysuru,Mid,Graduate,Unknown
P00298,Sandeep Patil,44,M,Electronic City,Mid,Graduate,Shop owner
P00299,Vijay Naidu,17,M,Whitefield,Lower-mid,None,Daily wage
P00300,Vijay Naidu,35,M,Rajajinagar,Lower-mid,Secondary,IT worker
P00301,Anita Sharma,62,M,KR Puram,Low,None,Daily wage
P00302,Ravi Pai,57,M,BTM,Upper-mid,Postgraduate,Vendor
P00303,Bhavani Rao,51,M,Mysuru,Lower-mid,Diploma,Vendor
P00304,Asha Desai,27,M,Hubballi,Lower-mid,None,Unknown
P00305,Rahul Sharma,53,M,BLR South,Mid,Primary,Clerk
P00306,Manjunath Joshi,22,F,Mysuru,Low,Secondary,Vendor
P00307,Meena Shetty,32,M,Electronic City,Lower-mid,Postgraduate,Student
P00308,Mahesh Iyer,55,M,Jayanagar,Lower-mid,Diploma,Unknown
P00309,Priya Achar,61,F,Mangaluru,Mid,Postgraduate,Driver
P00310,Ganesh Shetty,31,M,BTM,Lower-mid,Primary,Shop owner
P00311,Vinay Khan,54,M,Yelahanka,Lower-mid,Diploma,Shop owner
P00312,Priya Gupta,26,M,BTM,Low,Diploma,Unknown
P00313,Deepa Naidu,16,M,Rajajinagar,Upper-mid,Graduate,Shop owner
P00314,Sahana Khan,59,M,Belagavi,Upper-mid,Diploma,Driver
P00315,Faisal Joshi,17,F,Rajajinagar,Low,Secondary,Vendor
P00316,Ramesh Bhat,26,F,Mangaluru,Mid,Diploma,Shop owner
P00317,Yusuf Shetty,52,M,Mysuru,Upper-mid,Secondary,Shop owner
P00318,Imran Raju,44,M,Yelahanka,Low,Postgraduate,Vendor
P00319,Divya Reddy,44,M,Jayanagar,Lower-mid,None,Vendor
P00320,Shilpa Raju,53,M,Belagavi,Mid,Diploma,Driver
P00321,Roopa Nayak,66,M,Rajajinagar,Upper-mid,Graduate,Student
P00322,Ramesh Murthy,54,M,KR Puram,High,Secondary,Clerk
P00323,Sandeep Murthy,70,M,Hubballi,Upper-mid,Primary,Mechanic
P00324,Deepa Murthy,57,M,BTM,Low,Postgraduate,Student
P00325,Geetha Achar,41,M,Mangaluru,Mid,Postgraduate,Mechanic
P00326,Vinay Sharma,20,M,Jayanagar,Lower-mid,Postgraduate,Clerk
P00327,Nandini Sharma,47,M,BLR South,Upper-mid,Postgraduate,Daily wage
P00328,Meena Desai,58,M,Jayanagar,Mid,Diploma,Vendor
P00329,Sneha Hegde,47,M,Whitefield,Lower-mid,Graduate,Driver
P00330,Sandeep Das,66,M,Hubballi,Mid,None,Daily wage
P00331,Meena Kumar,23,F,BTM,Lower-mid,None,Mechanic
P00332,Rahul Setty,24,F,Whitefield,Low,Secondary,Daily wage
P00333,Nandini Murthy,21,M,Hubballi,Low,Diploma,Clerk
P00334,Arun Khan,57,M,Jayanagar,Low,Diploma,Daily wage
P00335,Lakshmi Joshi,30,M,Electronic City,Low,Postgraduate,Student
P00336,Kiran Khan,60,M,Jayanagar,Low,None,Daily wage
P00337,Anita Pai,39,F,BTM,Lower-mid,Primary,Driver
P00338,Manjunath Prasad,52,M,Hubballi,Low,Secondary,Vendor
P00339,Vijay Khan,55,M,Rajajinagar,Low,None,Driver
P00340,Kiran Joshi,62,M,Yelahanka,Lower-mid,Primary,Vendor
P00341,Reshma Desai,21,M,Mangaluru,Mid,Graduate,Clerk
P00342,Ravi Achar,35,M,Mangaluru,Lower-mid,Postgraduate,Mechanic
P00343,Santosh Desai,19,F,Rajajinagar,Lower-mid,None,Vendor
P00344,Sahana Desai,54,M,BLR South,High,Secondary,Driver
P00345,Vinay Joshi,42,M,Hubballi,Low,Diploma,Daily wage
P00346,Ravi Joshi,20,M,Rajajinagar,Low,None,Mechanic
P00347,Yusuf Bhat,56,M,Yelahanka,Lower-mid,Diploma,Daily wage
P00348,Ramesh Gupta,55,M,Jayanagar,Lower-mid,Graduate,Vendor
P00349,Vijay Gupta,36,M,Hubballi,Mid,Postgraduate,Daily wage
P00350,Divya Setty,43,M,Rajajinagar,Low,None,Mechanic
P00351,Kiran Sharma,55,M,Whitefield,Mid,Postgraduate,Driver
P00352,Kiran Kumar,61,M,BLR South,Low,Secondary,Shop owner
P00353,Bhavani Raju,32,M,BTM,Mid,Secondary,Daily wage
P00354,Ravi Pai,67,M,Mysuru,Low,Postgraduate,Unknown
P00355,Manjunath Das,45,M,BLR South,Lower-mid,Graduate,Driver
P00356,Nandini Rao,32,M,Mangaluru,Mid,None,Vendor
P00357,Yusuf Kumar,18,F,BLR South,Low,Diploma,Student
P00358,Vinay Nayak,27,F,BLR South,Lower-mid,Postgraduate,Mechanic
P00359,Arun Pai,31,M,Belagavi,Lower-mid,None,Unknown
P00360,Nandini Shetty,48,M,BLR South,Low,Graduate,Unemployed
P00361,Asha Gowda,45,F,Whitefield,Lower-mid,Graduate,IT worker
P00362,Suresh Naidu,28,M,Whitefield,Mid,Primary,IT worker
P00363,Nandini Joshi,47,F,Rajajinagar,Mid,Graduate,Vendor
P00364,Vijay Kumar,42,M,Mysuru,Lower-mid,Postgraduate,Unemployed
P00365,Pooja Kumar,64,M,Belagavi,Mid,None,Vendor
P00366,Bhavani Patil,42,M,BLR South,High,Primary,Clerk
P00367,Faisal Reddy,30,F,Mysuru,Lower-mid,Secondary,IT worker
P00368,Faisal Joshi,22,M,Hubballi,Upper-mid,None,Unknown
P00369,Sandeep Reddy,43,M,BTM,Low,Secondary,Student
